,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,B365W,B365L,B&WW,B&WL,EXW,EXL,PSW,PSL,WPts,LPts,UBW,UBL,LBW,LBL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,year,Player1,Player2,Won,RankDiff,PtsDiff,OddsDiff,MaxOddsDiff,WeightedRndDiff,RoundDiff
47028,1,Brisbane,Brisbane International,2017-01-01 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Ymer E.,79,160,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.28,3.5,,,1.22,3.5,1.31,3.73,689,372,,,1.3,3.5,,,1.33,3.9,1.29,3.5,2017,Ymer E.,Thompson J.,0,-81,-317,2.21,2.57,0,0
47029,1,Brisbane,Brisbane International,2017-01-02 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Robert S.,39,54,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,,,,,,,,,1.5,2.5,,,1.45,2.35,1.58,2.52,1102,854,,,1.53,2.5,,,1.59,2.55,1.54,2.43,2017,Robert S.,Mahut N.,0,-15,-248,0.8900000000000001,0.9599999999999997,0,0
47030,1,Brisbane,Brisbane International,2017-01-02 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Ferrer D.,Tomic B.,21,26,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.9,1.8,,,1.88,1.75,2.1,1.81,1785,1465,,,2.0,1.8,,,2.15,1.82,2.01,1.77,2017,Ferrer D.,Tomic B.,1,5,320,0.23999999999999977,0.32999999999999985,0,0
47031,1,Brisbane,Brisbane International,2017-01-02 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Edmund K.,Escobedo E.,45,141,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.36,3.0,,,1.35,2.75,1.42,3.09,1001,443,,,1.4,3.0,,,1.42,3.25,1.37,3.01,2017,Escobedo E.,Edmund K.,0,-96,-558,1.6399999999999997,1.83,0,0
47032,1,Brisbane,Brisbane International,2017-01-02 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Johnson S.,17,33,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.4,2.75,,,1.38,2.65,1.41,3.13,2035,1320,,,1.4,3.0,,,1.46,3.13,1.41,2.85,2017,Johnson S.,Dimitrov G.,0,-16,-715,1.4400000000000002,1.67,0,0
47033,1,Brisbane,Brisbane International,2017-01-03 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Donaldson J.,Muller G.,105,34,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,,,,,,,,,2.62,1.44,,,2.5,1.4,2.74,1.51,570,1255,,,2.62,1.5,,,2.75,1.51,2.64,1.47,2017,Donaldson J.,Muller G.,1,-71,-685,1.1700000000000002,1.24,0,0
47034,1,Brisbane,Brisbane International,2017-01-03 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Groth S.,Herbert P.H.,180,78,6.0,3.0,5.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed,,,,,,,,,2.25,1.57,,,2.25,1.52,2.34,1.66,320,698,,,2.25,1.62,,,2.4,1.66,2.27,1.61,2017,Herbert P.H.,Groth S.,0,102,378,-0.6599999999999999,-0.74,0,0
47035,1,Brisbane,Brisbane International,2017-01-03 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Pouille L.,Simon G.,15,25,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.8,1.9,,,1.75,1.85,1.93,1.95,2156,1585,,,1.91,1.91,,,1.93,2.0,1.83,1.94,2017,Pouille L.,Simon G.,1,10,571,-0.10999999999999988,-0.07000000000000006,0,0
47036,1,Brisbane,Brisbane International,2017-01-03 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Troicki V.,Nishioka Y.,29,100,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.5,2.5,,,1.45,2.4,1.54,2.62,1385,604,,,1.5,2.5,,,1.54,2.85,1.49,2.57,2017,Nishioka Y.,Troicki V.,0,-71,-781,1.0799999999999998,1.31,0,0
47037,1,Brisbane,Brisbane International,2017-01-03 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Schwartzman D.,Querrey S.,52,31,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,,,,,,,,,2.2,1.61,,,2.05,1.62,2.2,1.74,864,1355,,,2.2,1.67,,,2.3,1.74,2.18,1.66,2017,Querrey S.,Schwartzman D.,0,21,491,-0.5200000000000002,-0.5599999999999998,0,0
47038,1,Brisbane,Brisbane International,2017-01-03 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,De Minaur A.,51,351,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.44,2.62,,,1.38,2.6,1.49,2.8,874,132,,,1.5,2.62,,,1.5,2.8,1.45,2.7,2017,De Minaur A.,Zverev M.,0,-300,-742,1.2500000000000002,1.2999999999999998,0,0
47039,1,Brisbane,Brisbane International,2017-01-03 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Dolgopolov O.,9,62,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.16,5.0,,,1.14,4.3,1.15,6.34,3300,760,,,1.17,5.0,,,1.2,6.34,1.14,5.34,2017,Nadal R.,Dolgopolov O.,1,53,2540,-4.2,-5.14,0,0
47040,1,Brisbane,Brisbane International,2017-01-04 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Donaldson J.,5,105,4.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,,,,,,,,,1.1,7.0,,,1.11,4.8,1.12,7.58,4905,570,,,1.12,6.0,,,1.14,7.58,1.11,6.37,2017,Nishikori K.,Donaldson J.,1,100,4335,-5.26,-6.44,0,0
47041,1,Brisbane,Brisbane International,2017-01-04 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Thompson J.,Ferrer D.,79,21,4.0,6.0,7.0,5.0,7.0,5.0,,,,,2.0,1.0,Completed,,,,,,,,,4.5,1.18,,,3.8,1.18,4.93,1.22,689,1785,,,4.5,1.2,,,5.0,1.23,4.46,1.2,2017,Thompson J.,Ferrer D.,1,-58,-1096,3.26,3.77,0,0
47042,1,Brisbane,Brisbane International,2017-01-04 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Edmund K.,Pouille L.,45,15,6.0,3.0,3.0,1.0,,,,,,,1.0,0.0,Retired,,,,,,,,,2.62,1.44,,,2.35,1.48,2.6,1.56,1001,2156,,,2.5,1.53,,,2.75,1.57,2.51,1.51,2017,Pouille L.,Edmund K.,0,30,1155,-0.9999999999999998,-1.18,0,0
47043,1,Brisbane,Brisbane International,2017-01-04 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,Troicki V.,4,29,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.3,3.4,,,1.25,3.1,1.34,3.6,5315,1385,,,1.3,3.5,,,1.35,3.6,1.31,3.39,2017,Troicki V.,Wawrinka S.,0,-25,-3930,2.08,2.25,0,0
47044,1,Brisbane,Brisbane International,2017-01-05 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Mahut N.,17,39,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.18,4.5,,,1.2,3.75,1.21,5.0,2035,1102,,,1.25,4.0,,,1.25,5.0,1.2,4.39,2017,Mahut N.,Dimitrov G.,0,-22,-933,3.1899999999999995,3.75,0,0
47045,1,Brisbane,Brisbane International,2017-01-05 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Thiem D.,Groth S.,8,180,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.16,4.5,,,1.2,3.75,1.22,4.97,3415,320,,,1.22,4.33,,,1.25,4.97,1.2,4.4,2017,Groth S.,Thiem D.,0,-172,-3095,3.2,3.7199999999999998,0,0
47046,1,Brisbane,Brisbane International,2017-01-05 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Raonic M.,Schwartzman D.,3,52,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.14,5.5,,,1.1,5.25,1.15,6.44,5450,864,,,1.14,5.5,,,1.17,6.44,1.13,5.66,2017,Raonic M.,Schwartzman D.,1,49,4586,-4.53,-5.2700000000000005,0,0
47047,1,Brisbane,Brisbane International,2017-01-05 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Nadal R.,Zverev M.,9,51,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.12,6.0,,,1.09,5.25,1.14,6.76,3300,874,,,1.11,6.5,,,1.14,6.8,1.11,6.16,2017,Nadal R.,Zverev M.,1,42,2426,-5.05,-5.66,0,0
47048,1,Brisbane,Brisbane International,2017-01-06 00:00:00,ATP250,Outdoor,Hard,Quarterfinals,3,Wawrinka S.,Edmund K.,4,45,6.0,7.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,,,,,,,,,1.28,3.5,,,1.3,3.0,1.33,3.77,5315,1001,,,1.3,3.4,,,1.33,3.8,1.3,3.48,2017,Edmund K.,Wawrinka S.,0,-41,-4314,2.1799999999999997,2.4699999999999998,0,0
47049,1,Brisbane,Brisbane International,2017-01-06 00:00:00,ATP250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Thompson J.,5,79,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.16,5.0,,,1.12,4.75,1.15,6.73,4905,689,,,1.17,5.0,,,1.2,6.73,1.15,5.52,2017,Nishikori K.,Thompson J.,1,74,4216,-4.369999999999999,-5.53,0,0
